"foco";"nivel_cbbe";"num_pergunta_1";"pergunta_1";"subtitulo_1";"resposta_1";"texto_resposta_1";"num_pergunta_2";"pergunta_2";"subtitulo_2";"resposta_2";"texto_resposta_2";"cruzamento";"pontos";"tipo";"diagnostico"
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"A";"Provavelmente precisa perguntar. A descrição serve para quase qualquer público.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"B";"O jeito de pensar aparece de vez em quando, sem um fio condutor.";"AB";"3";"Desequilíbrio";"Sua marca já expressa opiniões, mas sobre um território indefinido. Pontos de vista dispersos, sem um assunto e um público delimitados, não constroem especialidade: constroem a impressão de alguém que comenta muitos temas. **O que falta não é conteúdo, é foco**. Delimite o território antes de aumentar a produção: a mesma opinião dentro de um recorte claro passa a ser lida como autoridade técnica."
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"A";"Provavelmente precisa perguntar. A descrição serve para quase qualquer público.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"C";"Os critérios e a forma de trabalhar aparecem com frequência.";"AC";"4";"Desequilíbrio";"Sua marca comunica critérios com clareza e não delimita a quem eles servem. Essa combinação atrai interesse e não converte em consideração: quem lê reconhece qualidade de pensamento, e não conclui que aquilo é para ele. É o desperdício mais silencioso do posicionamento: **narrativa madura sem endereço**. Definir entrega e público com precisão transforma o conteúdo que você já produz em filtro de cliente."
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"B";"Em parte. Uma das duas coisas está clara: a entrega ou o público.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"A";"Fala principalmente da oferta: serviços, produtos, condições, resultados.";"BA";"3";"Desequilíbrio";"Sua marca tem metade do posicionamento resolvido e comunica apenas a oferta. Ou a entrega ou o público está claro, e a comunicação se limita a serviços, condições e resultados. Isso posiciona sua marca como fornecedora, não como referência, e **fornecedor é substituível por um preço melhor**. Completar a definição que falta e passar a comunicar critérios e forma de trabalhar é o que move sua marca de opção para escolha."
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"B";"Em parte. Uma das duas coisas está clara: a entrega ou o público.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"B";"O jeito de pensar aparece de vez em quando, sem um fio condutor.";"BB";"4";"Diagonal";"Sua marca tem uma definição parcial e uma narrativa intermitente. Uma das duas pontas do posicionamento está clara, e o jeito de pensar aparece sem fio condutor. O resultado é uma percepção instável: quem acompanha entende aproximadamente o que sua marca é, e **não consegue explicá-la para outra pessoa**. O ganho maior vem de fechar a definição que falta primeiro: narrativa sem território definido não acumula."
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"B";"Em parte. Uma das duas coisas está clara: a entrega ou o público.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"C";"Os critérios e a forma de trabalhar aparecem com frequência.";"BC";"5";"Desequilíbrio";"Sua marca comunica critérios com frequência sobre um posicionamento incompleto. A narrativa está madura, e falta uma das duas definições: a entrega ou o público. Isso produz **reconhecimento amplo e conversão baixa**: sua marca é respeitada por mais gente do que a que se identifica como cliente. Fechar a definição que falta é uma decisão de recorte, não de produção, e é o que faz o conteúdo existente começar a qualificar contato."
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"C";"Sim. A entrega e o público aparecem com precisão.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"A";"Fala principalmente da oferta: serviços, produtos, condições, resultados.";"CA";"4";"Desequilíbrio";"Sua marca é clara no que entrega e para quem, e comunica apenas isso. A definição está resolvida: a base do significado existe. O que falta é o simbólico: sem critérios, opiniões e forma de trabalhar, sua marca é **compreendida sem ser preferida**. Clareza gera entendimento; critério gera confiança. Incluir o modo de pensar na comunicação é o próximo passo, e ele não exige mais volume, exige outro tipo de conteúdo."
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"C";"Sim. A entrega e o público aparecem com precisão.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"B";"O jeito de pensar aparece de vez em quando, sem um fio condutor.";"CB";"5";"Desequilíbrio";"Sua marca tem posicionamento definido e narrativa que aparece sem regularidade. As duas frentes existem, e apenas uma sustenta. Quando o jeito de pensar aparece de forma intermitente, **ele é lido como opinião pontual, não como critério da marca**. A diferença entre as duas coisas é constância. Transformar critérios e forma de trabalhar em linha editorial permanente é o que consolida o significado."
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"C";"Sim. A entrega e o público aparecem com precisão.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"C";"Os critérios e a forma de trabalhar aparecem com frequência.";"CC";"6";"Diagonal";"Sua marca comunica com precisão o que entrega, para quem, e como pensa: o nível de significado está construído, e ele é o que separa marca de prestador de serviço. A questão passa a ser durabilidade: se esse posicionamento não está formalizado como diretriz escrita, ele não funciona como filtro. **Posicionamento que não orienta o que a marca recusa se dilui aos poucos**, uma pauta e um cliente por vez. Documentar a definição como critério de decisão é o que a protege, e é o que permite avançar para o nível de resposta, onde o mercado começa a julgar."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"A";"Raramente. A comunicação se sustenta em afirmações e promessas.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"A";"Provavelmente não. A comparação tende a cair no preço ou no prazo.";"AA";"2";"Diagonal";"Sua marca afirma sem comprovar e não se distingue dos concorrentes. Sem análise, casos ou números, a comunicação se sustenta em promessa, e promessa é exatamente o que todo concorrente também oferece. O efeito é direto na negociação: sem prova e sem diferença visível, **a conversa cai no preço**. O primeiro passo é documentar o que sua marca já fez: resultados, processos, decisões. Prova é o material bruto da credibilidade."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"A";"Raramente. A comunicação se sustenta em afirmações e promessas.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"B";"Em parte. A diferença existe, mas depende de uma conversa para aparecer.";"AB";"3";"Desequilíbrio";"Sua marca tem uma diferença real que só aparece em conversa, e não a comprova. Isso concentra todo o esforço de venda no contato direto: sua marca precisa explicar seu valor uma pessoa por vez, sem nada que trabalhe antes. **É caro e não escala**. Levar prova para a comunicação (casos, números, análise própria) é o que faz a diferença ser percebida antes da reunião."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"A";"Raramente. A comunicação se sustenta em afirmações e promessas.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"C";"Sim. A diferença aparece antes do primeiro contato.";"AC";"4";"Desequilíbrio";"Sua marca é claramente diferente e não sustenta essa diferença com prova. A distinção é percebida, e ela se apoia em afirmação. Isso funciona até o momento da decisão: diante de um investimento relevante, o cliente busca evidência, e a ausência dela transfere a decisão para quem apresentar números. **Diferença sem prova é reputação frágil**. Documentar casos e resultados é o que converte percepção em segurança."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"B";"Às vezes, quando há um caso ou resultado disponível para mostrar.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"A";"Provavelmente não. A comparação tende a cair no preço ou no prazo.";"BA";"3";"Desequilíbrio";"Sua marca mostra prova quando há oportunidade, e não se distingue na comparação. Existe material de credibilidade, e ele não está organizado em torno de uma diferença. O resultado é uma marca **competente e substituível**: convence que sabe fazer, não convence que é a escolha. Definir e comunicar o que sua marca faz de forma diferente das demais é o que dá direção à prova que você já tem."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"B";"Às vezes, quando há um caso ou resultado disponível para mostrar.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"B";"Em parte. A diferença existe, mas depende de uma conversa para aparecer.";"BB";"4";"Diagonal";"Sua marca comprova de vez em quando e se diferencia parcialmente. As duas frentes existem em estado eventual, então nenhuma opera antes do contato. Na prática, sua marca chega à conversa comercial sem vantagem construída: **precisa se provar e se diferenciar ao mesmo tempo, no mesmo encontro**. Tornar a prova recorrente é o movimento com melhor retorno, porque ela é o que torna a diferença crível."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"B";"Às vezes, quando há um caso ou resultado disponível para mostrar.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"C";"Sim. A diferença aparece antes do primeiro contato.";"BC";"5";"Desequilíbrio";"Sua marca tem diferença evidente e prova ocasional. Ela é escolhida pela distinção e ainda negocia sem lastro. Quando a prova aparece só quando há um caso disponível, **ela não acompanha o ciclo de decisão do cliente**, que pesquisa antes de falar com você. Transformar a apresentação de resultados em rotina, e não em eventualidade, é o que fecha o nível de resposta."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"C";"Com frequência. Análises, casos ou dados fazem parte da comunicação.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"A";"Provavelmente não. A comparação tende a cair no preço ou no prazo.";"CA";"4";"Desequilíbrio";"Sua marca comprova o que afirma com frequência e não se distingue dos concorrentes. Credibilidade construída sem diferenciação produz um efeito específico: sua marca **entra em todas as comparações e ganha poucas**, porque é vista como uma boa opção entre boas opções. A prova está feita; falta o recorte. Definir qual diferença sua marca defende, e comunicá-la antes do primeiro contato, é o que a tira da disputa por preço."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"C";"Com frequência. Análises, casos ou dados fazem parte da comunicação.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"B";"Em parte. A diferença existe, mas depende de uma conversa para aparecer.";"CB";"5";"Desequilíbrio";"Sua marca sustenta o que afirma com prova consistente, e a diferença ainda precisa de conversa para aparecer. Ela chega bem preparada à negociação e depende de chegar até ela. O gargalo não é de credibilidade, é de comunicação da distinção: **o que a separa das demais existe e não está visível de fora**. Tornar a diferença explícita na comunicação encurta o ciclo de venda e reduz a comparação por preço."
"3";"Resposta";"5";"Sua marca comprova o que afirma?";"O que você diz vem acompanhado de análise própria, casos ou números?";"C";"Com frequência. Análises, casos ou dados fazem parte da comunicação.";"6";"O mercado sabe por que escolher sua marca?";"Se comparassem sua marca com um concorrente parecido, a diferença ficaria evidente?";"C";"Sim. A diferença aparece antes do primeiro contato.";"CC";"6";"Diagonal";"Sua marca comprova o que afirma e sua diferença é percebida antes do contato: o nível de resposta está construído, e é aqui que a marca passa a ser escolhida em vez de comparada. A questão agora é sistematização: se a produção de prova e a comunicação da diferença dependem de decisões tomadas caso a caso, elas variam com a rotina. Credibilidade é o ativo que leva **mais tempo para construir e mais rápido se perde por inconsistência**. Estruturar isso como método é o que abre o último nível, a ressonância, quando o mercado passa a procurar sua marca."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"A";"Pouco. Cada venda ou contato começa e termina em si mesmo.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"A";"Raramente. Quase todo contato vem de prospecção ativa ou anúncio.";"AA";"2";"Diagonal";"Sua marca opera por esforço contínuo de captação. Sem recorrência e sem procura espontânea, cada venda exige um novo ciclo completo de prospecção ou anúncio: **o crescimento é proporcional ao esforço, e para quando o esforço para**. Esse é o custo de não ter construído os níveis anteriores. O ponto de partida não é gerar indicação, é criar motivo para permanência: relacionamento contínuo com quem já comprou e com quem acompanha."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"A";"Pouco. Cada venda ou contato começa e termina em si mesmo.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"B";"Acontece de vez em quando, de forma imprevisível.";"AB";"3";"Desequilíbrio";"Sua marca recebe procura espontânea de vez em quando e não retém. Chega gente sem estímulo, e ela não permanece. Isso indica que o problema não é atração, é continuidade: a marca gera interesse e não sustenta relação. **Atração sem retenção obriga a recomeçar sempre**, e desperdiça o mais difícil, que é ser procurado. Estruturar contato recorrente com quem já chegou é o passo de maior retorno."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"A";"Pouco. Cada venda ou contato começa e termina em si mesmo.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"C";"Sim, com regularidade. Indicação e busca são canais reais de entrada.";"AC";"4";"Desequilíbrio";"Sua marca é procurada com regularidade e não retém. Indicação e busca funcionam como canal real de entrada, e o vínculo não se estabelece depois. É o cenário de maior desperdício deste nível: sua marca conquistou reputação suficiente para atrair sem pagar, e **cada cliente encerra o ciclo em si mesmo**. O valor não está em atrair mais, está em fazer quem chega permanecer, e permanência se constrói com presença continuada, não com nova venda."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"B";"Alguns permanecem, sem um padrão claro.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"A";"Raramente. Quase todo contato vem de prospecção ativa ou anúncio.";"BA";"3";"Desequilíbrio";"Sua marca retém parte de quem chega e não é procurada. Existe vínculo, sem alcance: um grupo permanece e o mercado mais amplo não sabe que sua marca existe. Retenção sem procura significa **crescimento limitado ao tamanho da base atual**. O caminho é dar visibilidade ao que já funciona: tornar público o vínculo existente, através de casos, depoimentos e conteúdo que circule além de quem já acompanha."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"B";"Alguns permanecem, sem um padrão claro.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"B";"Acontece de vez em quando, de forma imprevisível.";"BB";"4";"Diagonal";"Sua marca tem vínculo e procura espontânea acontecendo de forma imprevisível. As duas frentes existem, nenhuma é confiável para planejar. Na prática, sua marca não consegue prever de onde vem o próximo cliente, e **o que é imprevisível não pode ser escalado nem delegado**. O que transforma esse cenário não é mais esforço, é regularidade: presença constante é o que faz indicação e permanência deixarem de ser eventos e passarem a ser fluxo."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"B";"Alguns permanecem, sem um padrão claro.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"C";"Sim, com regularidade. Indicação e busca são canais reais de entrada.";"BC";"5";"Desequilíbrio";"Sua marca é procurada com regularidade e retém apenas parte. A reputação está funcionando: entra contato qualificado sem custo de mídia. A perda está na saída: sem um padrão de relacionamento contínuo, boa parte de quem chega passa uma vez e não volta. Em marcas nesse estágio, o ganho maior costuma vir de retenção, não de aquisição: **manter é mais barato que atrair**, e alimenta a própria indicação."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"C";"Sim. Há um grupo que acompanha e retorna com regularidade.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"A";"Raramente. Quase todo contato vem de prospecção ativa ou anúncio.";"CA";"4";"Desequilíbrio";"Sua marca tem um grupo fiel e nenhuma procura espontânea. O vínculo está construído (clientes voltam, audiência acompanha) e isso não circula para fora. É reputação concentrada: **forte com quem conhece, inexistente para quem não conhece**. A base para a ressonância existe e está fechada. Tornar visível o que esse grupo já reconhece, através de conteúdo público e prova social, é o que abre o canal de indicação."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"C";"Sim. Há um grupo que acompanha e retorna com regularidade.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"B";"Acontece de vez em quando, de forma imprevisível.";"CB";"5";"Desequilíbrio";"Sua marca tem vínculo consolidado e procura espontânea intermitente. Quem chega permanece, e a chegada ainda depende de estímulo na maior parte do tempo. Esse cenário indica que **o valor entregue é real e a comunicação dele não alcança quem está fora**. Ampliar a presença pública, sem alterar o que já funciona na entrega, é o que converte satisfação existente em atração contínua."
"4";"Ressonância";"7";"Seus clientes e sua audiência permanecem?";"Tem gente que volta, acompanha e continua por perto depois do primeiro contato?";"C";"Sim. Há um grupo que acompanha e retorna com regularidade.";"8";"O mercado procura sua marca sem estímulo pago?";"Chega contato por indicação, convite ou busca — sem anúncio e sem prospecção?";"C";"Sim, com regularidade. Indicação e busca são canais reais de entrada.";"CC";"6";"Diagonal";"Sua marca retém quem chega e é procurada sem estímulo pago: o nível de ressonância está ativo, e é o resultado que a maioria das marcas nunca alcança. A questão agora é de natureza diferente das anteriores: o que sustenta esse resultado hoje é, quase sempre, a presença direta de quem construiu a marca. **Autoridade que depende de uma pessoa não é patrimônio da marca, é reputação pessoal**: ela não se delega, não se transfere e não escala. Transformar o que já funciona em método documentado é o que faz sua marca continuar sendo procurada independentemente de quem está à frente dela, dia após dia."
